VR_OFTEN_USE,VR_MINUTES,VR_ACTIVITIES_1,VR_ACTIVITIES_2,VR_ACTIVITIES_3,VR_ACTIVITIES_4,VR_ACTIVITIES_5,VR_ACTIVITIES_7,VR_ACTIVITIES_6,VR_SYMPTOMS_1,VR_SYMPTOMS_2,VR_SYMPTOMS_3,VR_SYMPTOMS_4,VR_SYMPTOMS_5,VR_SYMPTOMS_6,VR_SYMPTOMS_7,VR_SYMPTOMS_8,GENDER,AGE
4,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
2,120,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18
4,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6
3,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15
3,45,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,11
2,45,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,19
1,45,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,15
4,30,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35
2,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
3,30,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,27
3,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,45,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,17
2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11
4,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
2,60,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,45,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24
5,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
5,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
4,75,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,19
1,30,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,28
3,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2,45,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,31
4,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
4,45,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10
3,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
2,30,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2
4,60,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,8
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1,30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28
4,240,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,6
2,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
3,30,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,10
3,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
4,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5,90,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17
2,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2,120,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,18
4,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
3,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
4,30,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
2,45,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20
4,45,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15
2,60,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
2,30,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21
1,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
2,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
4,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8
3,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,60,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,6
5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
5,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
4,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,18
4,30,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14
1,60,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
5,75,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11
1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
3,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3,15,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,48
3,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
3,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21
3,120,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
6,30,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,12
4,120,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,13
4,25,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,15
3,60,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17
3,30,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22
5,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
3,30,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17
3,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39
3,30,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,16
3,60,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,7
4,30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
5,10,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,21
2,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9
3,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2,30,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13
4,120,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,8
5,15,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,24
4,15,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,21
3,25,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,22
2,40,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11
3,15,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,22
4,45,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,21
4,25,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,15
5,90,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1
3,60,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,21
4,45,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,13
2,30,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,29
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22
4,30,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,9
2,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21
2,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25
4,120,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4
2,120,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,14
3,30,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4
5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
3,35,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,11
4,40,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,10
4,45,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9
3,80,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,12
3,120,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11
2,120,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,7
2,30,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,7
3,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33
2,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6
4,50,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,19
5,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1,25,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2,45,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2
2,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
3,45,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6
2,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3,45,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,8
3,60,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13
2,120,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,19
2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
2,90,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,10
2,25,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10
4,120,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,18
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
3,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28
3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22
2,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
1,60,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2
5,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,31
2,60,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,34
4,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32
3,45,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,13
2,60,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,7
3,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30
3,30,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,5
5,120,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,13
3,120,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
2,25,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,17
1,10,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,20
3,60,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,8
2,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,60,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
4,30,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,48
3,60,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,12
2,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
